county,city,modelYear,make,model,electricVehicleType,electricRange,electricUtility,Range Class
King,Maple Valley,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Tacoma,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),6.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Short Range
Pierce,Tacoma,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
Cowlitz,Kalama,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,Long Range
King,Seattle,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Issaquah,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Bothell,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Lynnwood,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,PUGET SOUND ENERGY INC,Short Range
King,Vashon,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,University Place,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
King,Issaquah,2019,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),13.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Seattle,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Pierce,Gig Harbor,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),20.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Short Range
King,Kirkland,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Island,Oak Harbor,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),289.0,PUGET SOUND ENERGY INC,Long Range
Pierce,Tacoma,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
Pierce,Steilacoom,2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),19.0,BONNEVILLE POWER ADMINISTRATION||TOWN OF STEILACOOM|CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Short Range
King,Seattle,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Seatac,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),289.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Maple Valley,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Renton,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Bothell,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,PUGET SOUND ENERGY INC,Long Range
Snohomish,Everett,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,PUGET SOUND ENERGY INC,Short Range
King,Seattle,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Spokane,Spokane,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Long Range
King,Seattle,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Seattle,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Kitsap,Bainbridge Island,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107.0,PUGET SOUND ENERGY INC,Medium Range
King,Sammamish,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Pierce,Bonney Lake,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Enumclaw,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Pierce,Tacoma,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Medium Range
King,Bellevue,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Redmond,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Seattle,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),215.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Seattle,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Medium Range
King,Bothell,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Lake Stevens,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
King,Seattle,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Seattle,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Seattle,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Clark,Battle Ground,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Spokane,Spokane Valley,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,Long Range
King,Seattle,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Pierce,Lakewood,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seatac,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Franklin,Pasco,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),14.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,Short Range
Snohomish,Everett,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC,Long Range
King,Seattle,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),19.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Kitsap,Silverdale,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
King,Seattle,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Kitsap,Poulsbo,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC,Long Range
King,Lake Forest Park,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Kirkland,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Sammamish,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),16.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Woodinville,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),232.69662921348313,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Shoreline,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Pierce,Auburn,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Lewis,Morton,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,Long Range
King,Redmond,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Duvall,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Redmond,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Jefferson,Port Townsend,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,Medium Range
Kitsap,Poulsbo,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,PUGET SOUND ENERGY INC,Medium Range
King,Federal Way,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Puyallup,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,Long Range
Clallam,Sequim,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,Long Range
King,Pacific,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Mercer Island,2021,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),203.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Kirkland,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Mill Creek,2021,BMW,I3,Battery Electric Vehicle (BEV),108.0,PUGET SOUND ENERGY INC,Medium Range
Snohomish,Edmonds,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,PUGET SOUND ENERGY INC,Short Range
Snohomish,Lynnwood,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,PUGET SOUND ENERGY INC,Long Range
King,Seattle,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),20.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Pierce,South Hill,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
King,Federal Way,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Spokane,Spokane,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,MODERN ELECTRIC WATER COMPANY,Long Range
King,Issaquah,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Bonney Lake,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Snohomish,Snohomish,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),249.0,PUGET SOUND ENERGY INC,Long Range
King,Kirkland,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Thurston,Olympia,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
Whatcom,Bellingham,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,Short Range
Clark,Vancouver,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Clark,Ridgefield,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
King,Seattle,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
Snohomish,Mukilteo,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC,Long Range
Spokane,Spokane,2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),234.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Long Range
King,Seattle,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Sammamish,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Snohomish,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC,Short Range
King,Kent,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Clark,Vancouver,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Long Range
Grays Harbor,Ocean Shores,2014,FIAT,500,Battery Electric Vehicle (BEV),87.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,Short Range
King,Bellevue,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Clark,Vancouver,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Clark,Washougal,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),14.0,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Kitsap,Suquamish,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151.0,PUGET SOUND ENERGY INC,Medium Range
King,Lake Forest Park,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Pierce,Gig Harbor,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
Thurston,Olympia,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,PUGET SOUND ENERGY INC,Long Range
Clark,Vancouver,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),35.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
King,Renton,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Clallam,Forks,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),18.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,Short Range
Clark,Vancouver,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),Short Range
Mason,Shelton,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,Medium Range
King,Auburn,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Renton,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Tacoma,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
Benton,Benton City,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,Long Range
Whitman,Colfax,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,Long Range
Snohomish,Bothell,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266.0,PUGET SOUND ENERGY INC,Long Range
Snohomish,Snohomish,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
Island,Freeland,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
Island,Oak Harbor,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),244.3,PUGET SOUND ENERGY INC,Long Range
King,Snoqualmie,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Franklin,Pasco,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,Long Range
Thurston,Tumwater,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,PUGET SOUND ENERGY INC,Medium Range
King,Seattle,2014,BMW,I3,Battery Electric Vehicle (BEV),81.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Seattle,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),227.99428571428572,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Auburn,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Snohomish,Everett,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC,Long Range
Whitman,Pullman,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,AVISTA CORP,Long Range
King,North Bend,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Medium Range
Yakima,Sunnyside,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||PACIFICORP||BENTON RURAL ELECTRIC ASSN,Long Range
Snohomish,Lake Stevens,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),149.0,PUGET SOUND ENERGY INC,Medium Range
King,Issaquah,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),291.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Kent,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Island,Coupeville,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),14.0,PUGET SOUND ENERGY INC,Short Range
Benton,Kennewick,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,Short Range
King,Kent,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
Pierce,Gig Harbor,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Long Range
King,Seattle,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),6.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Seattle,2022,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Issaquah,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),32.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Short Range
Skamania,Underwood,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33.0,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF SKAMANIA CO,Short Range
King,Maple Valley,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),308.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Redmond,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),105.0415512465374,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
King,Redmond,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Seattle,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),227.99428571428572,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Auburn,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Long Range
King,Shoreline,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
King,Seattle,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),239.92248062015503,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Long Range
Pierce,Gig Harbor,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Short Range
Pierce,Gig Harbor,2017,BMW,I3,Battery Electric Vehicle (BEV),81.0,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,Short Range
King,Seattle,2020,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),22.0,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),Short Range
King,Maple Valley,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),Medium Range
Kitsap,Port Orchard,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,PUGET SOUND ENERGY INC,Short Range
